code,name,category,parent_group,normal_balance,sort_order,gifi_code,gifi_label,gifi_section,tax_deductibility_percent,is_active,gifi_review_state,gifi_review_note
1000,Cash Clearing,asset,current_assets,debit,10,1001,Cash,balance_sheet,100,1,finalized,Reviewed starter mapping for year-end close bundle
2100,Accounts Payable,liability,current_liabilities,credit,20,2621,Trade payables,balance_sheet,100,1,finalized,Reviewed starter mapping for year-end close bundle
2190,Overhead Clearing,liability,current_liabilities,credit,30,2620,Amounts payable and accrued liabilities,balance_sheet,100,1,finalized,Finalized clearing account mapping for accrued overhead entries
2300,Sales Tax Payable,liability,current_liabilities,credit,40,2680,Taxes payable,balance_sheet,100,1,finalized,Reviewed starter mapping for GST/HST and sales-tax payable
4000,Sales Revenue,income,revenue,credit,100,8000,Sales of goods and services,income_statement,100,1,finalized,Reviewed starter mapping for year-end close bundle
6100,Electricity,expense,utilities,debit,200,9221,Electricity,income_statement,100,1,finalized,Reviewed starter mapping for year-end close bundle
6120,Gas,expense,utilities,debit,210,9224,Fuel costs,income_statement,100,1,finalized,Reviewed starter mapping for year-end close bundle
6200,Rent,expense,occupancy,debit,220,8911,Real estate rental,income_statement,100,1,finalized,Reviewed starter mapping for year-end close bundle
6300,Internet,expense,communications,debit,230,9152,Internet,income_statement,100,1,finalized,Reviewed starter mapping for year-end close bundle
6310,Phone,expense,communications,debit,240,9225,Telephone and telecommunications,income_statement,100,1,finalized,Reviewed starter mapping for year-end close bundle
6400,Advertising,expense,marketing,debit,250,8520,Advertising and promotion,income_statement,100,1,finalized,Reviewed starter mapping for year-end close bundle
6500,Software Subscriptions,expense,software,debit,260,9270,Other expenses,income_statement,100,1,finalized,Finalized starter mapping pending any future accountant preference for a narrower software split
6600,Insurance,expense,occupancy,debit,270,8690,Insurance,income_statement,100,1,finalized,Reviewed starter mapping for year-end close bundle
6700,Office Supplies,expense,office,debit,280,8811,Office stationery and supplies,income_statement,100,1,finalized,Reviewed starter mapping for year-end close bundle
6715,Bank Charges,expense,finance,debit,285,8715,Bank charges,income_statement,100,1,finalized,Reviewed starter mapping for year-end close bundle
6800,Equipment and Tools,expense,workshop,debit,290,9131,Small tools,income_statement,100,1,finalized,Finalized starter mapping for non-capitalized workshop tools
6810,Workshop Consumables,expense,workshop,debit,300,9132,Shop expense,income_statement,100,1,finalized,Finalized starter mapping for workshop consumables
6862,Accounting Fees,expense,professional_fees,debit,310,8862,Accounting fees,income_statement,100,1,finalized,Reviewed starter mapping for year-end close bundle
6900,Write-Offs,expense,losses,debit,320,9270,Other expenses,income_statement,100,1,finalized,Finalized current write-off staging pending any later split between inventory and other losses
